  0.0000000000    20.3550000000
  0.0500000000    1.0000000000    249    199
  0.0000000179    0.0112086833    0.0224179208    0.0336283028    0.0448404014
  0.0560547888    0.0672721088    0.0784927905    0.0897175491    0.1009468496
  0.1121813357    0.1234215796    0.1346681535    0.1459217012    0.1571826518
  0.1684517205    0.1797293723    0.1910163581    0.2023131073    0.2136203349
  0.2249385417    0.2362683713    0.2476103604    0.2589652240    0.2703334272
  0.2817155778    0.2931123912    0.3045243323    0.3159522235    0.3273965299
  0.3388578236    0.3503367126    0.3618338764    0.3733501017    0.3848857105
  0.3964415252    0.4080180466    0.4196160257    0.4312361419    0.4428787172
  0.4545448601    0.4662348211    0.4779494941    0.4896892726    0.5014551222
  0.5132475078    0.5250670016    0.5369144261    0.5487906039    0.5606956780
  0.5726308644    0.5845963061    0.5965932190    0.5999999821    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.0000000179    0.0109432518    0.0218869865    0.0328317940    0.0437781751
  0.0547266304    0.0656776965    0.0766319096    0.0875897706    0.0985518157
  0.1095185816    0.1204906046    0.1314683855    0.1424524605    0.1534433663
  0.1644416392    0.1754477441    0.1864622891    0.1974857748    0.2085188091
  0.2195618212    0.2306154549    0.2416801393    0.2527564824    0.2638450205
  0.2749463260    0.2860608995    0.2971893132    0.3083320320    0.3194898427
  0.3306630671    0.3418524206    0.3530584037    0.3642814815    0.3755223691
  0.3867815316    0.3980597198    0.4093572557    0.4206748545    0.4320130169
  0.4433724225    0.4547537148    0.4661572874    0.4775837481    0.4890338838
  0.5005080521    0.5120070398    0.5235312402    0.5350814044    0.5466581047
  0.5582618773    0.5698935091    0.5815533221    0.5932421029    0.5999999821
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
  0.6000000000    0.6000000000    0.6000000000    0.6000000000    0.6000000000
