  0.0000000000    0.0000000000
  0.0000100000    0.0003000000    499    12
  0.0000000000    0.0597069725    0.0597124979    0.0597196057    0.0597465888
  0.0597429946    0.0598270550    0.0598048463    0.0598654374    0.0598048195
  0.0597941712    0.0600332096    0.0598441407    0.0598908111    0.0598908111
  0.0598438725    0.0600571617    0.0599349603    0.0597944126    0.0598441139
  0.0600162849    0.0600154534    0.0602838621    0.0598767832    0.0602838621
  0.0603456602    0.0598780975    0.0603491470    0.0600152120    0.0603456065
  0.0602872685    0.0603490397    0.0603456870    0.0598776951    0.0602872953
  0.0603489593    0.0597403660    0.0604554966    0.0598776683    0.0600150242
  0.0600834206    0.0597405538    0.0603718653    0.0604293451    0.0604398862
  0.0604293719    0.0608605370    0.0599593952    0.0604293719    0.0609086826
  0.0599459305    0.0608604565    0.0609773204    0.0609771863    0.0599315003
  0.0603719994    0.0604294524    0.0599594757    0.0609085754    0.0609052762
  0.0608605102    0.0599456087    0.0606015965    0.0609774813    0.0604293451
  0.0606015429    0.0599460647    0.0609087095    0.0604292914    0.0603717580
  0.0609772131    0.0604548261    0.0599464133    0.0603654549    0.0609775081
  0.0608536705    0.0603930548    0.0608604565    0.0606015429    0.0609775618
  0.0609085754    0.0613344833    0.0606015965    0.0607829675    0.0603994653
  0.0621651366    0.0625980452    0.0621652171    0.0603993312    0.0617304847
  0.0627080962    0.0621685699    0.0627079889    0.0621653512    0.0610246882
  0.0615592524    0.0613463119    0.0627080426    0.0626115099    0.0610245004
  0.0599592343    0.0610245809    0.0613463387    0.0610584840    0.0615592524
  0.0607898608    0.0624500945    0.0621651366    0.0613462582    0.0599597439
  0.0621687308    0.0621652439    0.0626114294    0.0621618643    0.0621653512
  0.0603994653    0.0607898340    0.0621685162    0.0619728222    0.0621687844
  0.0607623681    0.0617545977    0.0603987411    0.0599593416    0.0610243663
  0.0607829675    0.0607694492    0.0621651635    0.0607693955    0.0621687308
  0.0621652171    0.0624501213    0.0621651098    0.0621685430    0.0613324180
  0.0624501213    0.0613324448    0.0634765759    0.0621618107    0.0624500409
  0.0621617571    0.0621652439    0.0610586181    0.0603988215    0.0610524222
  0.0624332771    0.0599605754    0.0610245541    0.0610585913    0.0610587254
  0.0607899413    0.0624501750    0.0617581651    0.0599601999    0.0617581919
  0.0624332771    0.0607899144    0.0610585108    0.0610524759    0.0610525832
  0.0610245541    0.0607692078    0.0621651366    0.0610526636    0.0621959820
  0.0652515545    0.0610588863    0.0634130880    0.0656738684    0.0643623486
  0.0643589959    0.0656739488    0.0632893577    0.0610580012    0.0652486846
  0.0656740829    0.0646955058    0.0656740829    0.0610588327    0.0633067384
  0.0643658355    0.0616075322    0.0656738415    0.0610588327    0.0610581353
  0.0656739488    0.0656741634    0.0643727288    0.0632109031    0.0610583499
  0.0632891968    0.0656740561    0.0632934079    0.0657288268    0.0656738684
  0.0632934615    0.0632931396    0.0610581085    0.0610579476    0.0610582158
  0.0657288805    0.0635881022    0.0632930860    0.0607967809    0.0656740561
  0.0635881022    0.0614902124    0.0657288268    0.0632931665    0.0657288536
  0.0632932469    0.0610578403    0.0633067653    0.0607968614    0.0632931396
  0.0636396006    0.0632245019    0.0636396006    0.0637905553    0.0632111713
  0.0635881290    0.0635879412    0.0610581353    0.0632893577    0.0636396274
  0.0636121348    0.0607968882    0.0652653411    0.0610581890    0.0632111713
  0.0632893309    0.0632111445    0.0634131148    0.0632933274    0.0669922814
  0.0632108763    0.0633753225    0.0634131417    0.0612780496    0.0610576525
  0.0610581353    0.0636122689    0.0629805818    0.0632934883    0.0634715870
  0.0616076127    0.0636396542    0.0629805550    0.0612779155    0.0607969686
  0.0629803941    0.0656739220    0.0636157021    0.0632933542    0.0657290414
  0.0629805818    0.0652349785    0.0607967004    0.0632891968    0.0607831553
  0.0657287732    0.0610584840    0.0632934615    0.0635880753    0.0661133215
  0.0635880753    0.0661133751    0.0657288536    0.0616076663    0.0661132947
  0.0657289073    0.0616079077    0.0632247433    0.0629806086    0.0636123493
  0.0612780765    0.0661134556    0.0618680015    0.0618748412    0.0610583231
  0.0648498937    0.0661133215    0.0661134556    0.0656740829    0.0607967004
  0.0610575989    0.0610582963    0.0637939885    0.0648499742    0.0632110640
  0.0648500010    0.0632111177    0.0631974384    0.0661135629    0.0661134288
  0.0632111445    0.0632110372    0.0632109836    0.0632110104    0.0641234443
  0.0637939885    0.0637941495    0.0612779960    0.0657289878    0.0661134824
  0.0661136970    0.0634716943    0.0632245287    0.0612778887    0.0614903733
  0.0661134556    0.0632893041    0.0637633041    0.0612782106    0.0607830480
  0.0632892504    0.0637941226    0.0610585377    0.0652379557    0.0632111177
  0.0637904748    0.0629805818    0.0632245824    0.0612777546    0.0652378485
  0.0632111982    0.0616076931    0.0634717479    0.0637904748    0.0725954428
  0.0689113751    0.0723206237    0.0616074249    0.0669736400    0.0669010863
  0.0669738278    0.0669186816    0.0740234509    0.0644377187    0.0669735596
  0.0616072103    0.0669049487    0.0725955769    0.0705800310    0.0608105406
  0.0644309595    0.0669738010    0.0740235850    0.0705801651    0.0616077736
  0.0681472942    0.0669049218    0.0692718640    0.0644239590    0.0669738010
  0.0616075590    0.0689182684    0.0706350699    0.0616075322    0.0689216748
  0.0689079687    0.0706350967    0.0617171809    0.0692651317    0.0632018909
  0.0633580223    0.0616070226    0.0705800846    0.0651998952    0.0669050828
  0.0669049755    0.0706179842    0.0663860217    0.0691963598    0.0632018641
  0.0669050291    0.0688942090    0.0640789732    0.0663722351    0.0706350163
  0.0644239321    0.0644239321    0.0705629990    0.0634757176    0.0692684308
  0.0624311581    0.0624310508    0.0692650780    0.0650076881    0.0669738814
  0.0687377289    0.0669736668    0.0688976422    0.0687239692    0.0669737741
  0.0687308356    0.0669737205    0.0687342688    0.0681506738    0.0705801651
  0.0640858397    0.0705802187    0.0650077417    0.0624871090    0.0706181452
  0.0624313727    0.0706898406    0.0634758249    0.0723205701    0.0687171027
  0.0706349090    0.0681508079    0.0706179842    0.0650138304    0.0722931042
  0.0685626075    0.0632285520    0.0687068298    0.0706179842    0.0640858665
  0.0723206505    0.0687342957    0.0706350699    0.0681508884    0.0723206773
  0.0650140718    0.0616081223    0.0681507543    0.0729251131    0.0650138035
  0.0616073176    0.0706179574    0.0681953594    0.0650138035    0.0616073176
  0.0723480359    0.0680992290    0.0697458103    0.0722931311    0.0697765484
  0.0640858933    0.0616071299    0.0697732762    0.0640927061    0.0617172077
