  0.0000000000    0.0150000000
  0.0002500000    0.0010000000    179    30
  -0.0000002608    0.0016875193    0.0033770695    0.0050698385    0.0067663357
  0.0084670171    0.0101723120    0.0118827030    0.0135986462    0.0153205708
  0.0170490131    0.0187844023    0.0205272749    0.0222780868    0.0240374014
  0.0258057281    0.0275836304    0.0293716982    0.0311706290    0.0329808250
  0.0348031446    0.0366381243    0.0384866491    0.0403493360    0.0422270164
  0.0441205755    0.0460310057    0.0479589775    0.0499058053    0.0518725082
  0.0538601860    0.0558703139    0.0579040453    0.0599628821    0.0620487019
  0.0641632482    0.0663083181    0.0684860572    0.0706992552    0.0729500577
  0.0752418444    0.0753458336    0.0751071706    0.0748678371    0.0746278599
  0.0743873730    0.0741461352    0.0739041194    0.0736616209    0.0734184787
  0.0731746122    0.0729301289    0.0726847872    0.0724389896    0.0721924677
  0.0719454899    0.0716977879    0.0714494154    0.0712003186    0.0709507927
  0.0707004622    0.0704495952    0.0701980308    0.0699459299    0.0696930513
  0.0694396362    0.0691855773    0.0689310089    0.0686756626    0.0684196994
  0.0681632265    0.0679060027    0.0676483229    0.0673898920    0.0671308443
  0.0668713674    0.0666110054    0.0663502410    0.0660888597    0.0658268079
  0.0655641928    0.0653010145    0.0650372997    0.0647728875    0.0645078316
  0.0642422393    0.0639761373    0.0637093917    0.0634421363    0.0631743982
  0.0629058823    0.0626369104    0.0623674288    0.0620973572    0.0618266955
  0.0615554437    0.0612837359    0.0610115990    0.0607387647    0.0604655012
  0.0601915404    0.0599172041    0.0596424386    0.0593670025    0.0590910569
  0.0588147357    0.0585379049    0.0582605645    0.0579827681    0.0577044621
  0.0574256733    0.0571464285    0.0568667278    0.0565867051    0.0563061193
  0.0560250774    0.0557436332    0.0554618940    0.0551795915    0.0548970476
  0.0546141014    0.0543307528    0.0540468946    0.0537706539    0.0537706539
  0.0537706539    0.0537706539    0.0537706539    0.0537706539    0.0537706539
  0.0537706539    0.0537706539    0.0537706539    0.0537706539    0.0537706539
  0.0537706539    0.0537706539    0.0537706539    0.0537706539    0.0537706539
  0.0537706539    0.0537706539    0.0537706539    0.0537706539    0.0537706539
  0.0537706539    0.0537706539    0.0537706539    0.0537706539    0.0537706539
  0.0537706539    0.0537706539    0.0537706539    0.0537706539    0.0537706539
  0.0537706539    0.0537706539    0.0537706539    0.0537706539    0.0537706539
  0.0537706539    0.0537706539    0.0537706539    0.0537706539    0.0537706539
  0.0537706539    0.0537706539    0.0537706539    0.0537706539    0.0537706539
  0.0537706539    0.0537706539    0.0537706539    0.0537706539    0.0537706539
  0.0537706539    0.0537706539    0.0537706539    0.0537706539    0.0537706539
  -0.0000002608    0.0016050950    0.0032118186    0.0048212782    0.0064339295
  0.0080502018    0.0096704170    0.0112949774    0.0129242852    0.0145587161
  0.0161986455    0.0178444758    0.0194966361    0.0211555824    0.0228215829
  0.0244952276    0.0261769459    0.0278670862    0.0295663193    0.0312749133
  0.0329935923    0.0347227857    0.0364630029    0.0382149681    0.0399791107
  0.0417562619    0.0435470387    0.0453520581    0.0471722052    0.0490082309
  0.0508609399    0.0527312443    0.0546202436    0.0565288767    0.0584581897
  0.0604095504    0.0623842195    0.0643837258    0.0664095178    0.0684631780
  0.0705468789    0.0726624712    0.0748123154    0.0766162351    0.0763881132
  0.0761594281    0.0759300724    0.0757002875    0.0754697248    0.0752387330
  0.0750070974    0.0747747913    0.0745420024    0.0743086502    0.0740746811
  0.0738399342    0.0736048386    0.0733690992    0.0731327698    0.0728959307
  0.0726584747    0.0724205628    0.0721818998    0.0719427809    0.0717030719
  0.0714627728    0.0712219104    0.0709804580    0.0707384422    0.0704959974
  0.0702528551    0.0700091496    0.0697649077    0.0695201024    0.0692747876
  0.0690289363    0.0687824145    0.0685353562    0.0682878152    0.0680397376
  0.0677911773    0.0675419733    0.0672921255    0.0670419559    0.0667911425
  0.0665398732    0.0662878528    0.0660354838    0.0657825515    0.0655291632
  0.0652751848    0.0650206432    0.0647656456    0.0645100847    0.0642539874
  0.0639974609    0.0637403980    0.0634829327    0.0632247701    0.0629662320
  0.0627071843    0.0624476001    0.0621876672    0.0619272247    0.0616662726
  0.0614047036    0.0611427858    0.0608803853    0.0606176630    0.0603543237
  0.0600905553    0.0598263040    0.0595617577    0.0592966482    0.0590310827
  0.0587652490    0.0584988520    0.0582321867    0.0579649851    0.0576973543
  0.0574293748    0.0571609929    0.0568922088    0.0566230759    0.0563535944
  0.0560837373    0.0558135316    0.0555428430    0.0552719668    0.0550007418
  0.0547971889    0.0547971889    0.0547971889    0.0547971889    0.0547971889
  0.0547971889    0.0547971889    0.0547971889    0.0547971889    0.0547971889
  0.0547971889    0.0547971889    0.0547971889    0.0547971889    0.0547971889
  0.0547971889    0.0547971889    0.0547971889    0.0547971889    0.0547971889
  0.0547971889    0.0547971889    0.0547971889    0.0547971889    0.0547971889
  0.0547971889    0.0547971889    0.0547971889    0.0547971889    0.0547971889
  0.0547971889    0.0547971889    0.0547971889    0.0547971889    0.0547971889
  0.0547971889    0.0547971889    0.0547971889    0.0547971889    0.0547971889
  0.0547971889    0.0547971889    0.0547971889    0.0547971889    0.0547971889
  0.0547971889    0.0547971889    0.0547971889    0.0547971889    0.0547971889
  -0.0000002608    0.0015316829    0.0030646458    0.0045999691    0.0061380550
  0.0076792791    0.0092238829    0.0107722417    0.0123246774    0.0138815120
  0.0154431209    0.0170097455    0.0185818151    0.0201595977    0.0217435226
  0.0233338848    0.0249311134    0.0265355036    0.0281475380    0.0297675386
  0.0313959613    0.0330332622    0.0346798435    0.0363360807    0.0380026445
  0.0396798834    0.0413683608    0.0430686668    0.0447812840    0.0465070173
  0.0482461885    0.0499997631    0.0517683312    0.0535526708    0.0553534791
  0.0571717754    0.0590085253    0.0608645871    0.0627410874    0.0646392062
  0.0665601775    0.0685052887    0.0704761222    0.0724741802    0.0745014474
  0.0765597746    0.0775988892    0.0773796991    0.0771599188    0.0769396827
  0.0767189100    0.0764976546    0.0762757555    0.0760534003    0.0758305088
  0.0756071880    0.0753832236    0.0751586959    0.0749337658    0.0747080311
  0.0744820550    0.0742554083    0.0740283862    0.0738007203    0.0735726789
  0.0733439937    0.0731148258    0.0728852823    0.0726551220    0.0724243179
  0.0721931919    0.0719614491    0.0717292234    0.0714965418    0.0712632701
  0.0710295424    0.0707953319    0.0705605581    0.0703252211    0.0700895622
  0.0698533133    0.0696165279    0.0693793133    0.0691415355    0.0689033285
  0.0686646119    0.0684254661    0.0681856498    0.0679454312    0.0677048370
  0.0674637333    0.0672220930    0.0669799432    0.0667374179    0.0664942488
  0.0662507579    0.0660067305    0.0657622471    0.0655174151    0.0652719662
  0.0650261685    0.0647797808    0.0645330712    0.0642857715    0.0640381768
  0.0637899652    0.0635414854    0.0632924154    0.0630430505    0.0627931491
  0.0625429526    0.0622920588    0.0620410576    0.0617894933    0.0615374193
  0.0612850770    0.0610322252    0.0607789978    0.0605253950    0.0602714166
