  0.0000000000    0.0036000000
  0.0000500000    0.0006000000    299    19
  0.0763875544    0.0761950314    0.0759648383    0.0757307112    0.0754933655
  0.0752530396    0.0750095546    0.0747630298    0.0745133460    0.0742603838
  0.0740040839    0.0737444460    0.0734812915    0.0732146204    0.0729442537
  0.0726700723    0.0723920763    0.0721100867    0.0718240440    0.0715337098
  0.0712390244    0.0709399283    0.0706361234    0.0703276098    0.0700140893
  0.0696955025    0.0693716705    0.0690422952    0.0687073171    0.0683664382
  0.0680194199    0.0676660836    0.0673060715    0.0669392049    0.0665651262
  0.0661835968    0.0657941997    0.0653966367    0.0649904907    0.0645754039
  0.0641506612    0.0637160838    0.0632709563    0.0628147423    0.0623467267
  0.0618663132    0.0613726079    0.0608648956    0.0603421032    0.0598032176
  0.0592471659    0.0586723387    0.0580774844    0.0574609339    0.0568206608
  0.0561542809    0.0554596484    0.0547336042    0.0539725125    0.0531727970
  0.0523289144    0.0514349639    0.0504840910    0.0494670570    0.0483720601
  0.0471845567    0.0458846390    0.0444446504    0.0428269207    0.0409742296
  0.0387950838    0.0361370146    0.0327152312    0.0279720128    0.0212288797
  0.0154885948    0.0154555142    0.0154222548    0.0153888166    0.0153551996
  0.0153214037    0.0152873695    0.0152532160    0.0152188241    0.0151841938
  0.0151493847    0.0151143968    0.0150792301    0.0150437653    0.0150081217
  0.0149722993    0.0149361789    0.0148998201    0.0148633420    0.0148265064
  0.0147894919    0.0147522390    0.0147147477    0.0146769583    0.0146389902
  0.0146005452    0.0145619810    0.0145231783    0.0144840777    0.0144446194
  0.0144049823    0.0143650472    0.0143246949    0.0142841041    0.0142432749
  0.0142020285    0.0141605437    0.0141186416    0.0140763819    0.0140337646
  0.0139909089    0.0139475763    0.0139039457    0.0138598979    0.0138154924
  0.0137706101    0.0137253702    0.0136797130    0.0136336386    0.0135870874
  0.0135400593    0.0134926736    0.0134447515    0.0133962333    0.0133473575
  0.0132979453    0.0132478774    0.0131973326    0.0131462514    0.0130945146
  0.0130423605    0.0129893720    0.0129358470    0.0128817260    0.0128267705
  0.0127711594    0.0127148926    0.0126577914    0.0126000345    0.0125413835
  0.0124818385    0.0124213994    0.0123601258    0.0122978985    0.0122347772
  0.0121704638    0.0121051967    0.0120387375    0.0119712055    0.0119024217
  0.0118322670    0.0117609203    0.0116880238    0.0116136968    0.0115378201
  0.0114601552    0.0113808811    0.0112997591    0.0112167299    0.0111313164
  0.0110439360    0.0109540522    0.0108615458    0.0107663572    0.0106681287
  0.0105666220    0.0104616582    0.0103527606    0.0102397501    0.0101219714
  0.0099991262    0.0098703802    0.0097349584    0.0095923245    0.0094411671
  0.0092799962    0.0091073215    0.0089202821    0.0087166727    0.0084913075
  0.0082382262    0.0079463422    0.0075998604    0.0071641505    0.0065583885
  0.0054779351    0.0027352870    0.0014813244    0.0014813244    0.0014813244
  0.0014813244    0.0014813244    0.0014813244    0.0014813244    0.0014813244
  0.0014813244    0.0014813244    0.0014813244    0.0014813244    0.0014813244
  0.0014813244    0.0014813244    0.0014813244    0.0014813244    0.0014813244
  0.0014813244    0.0014813244    0.0014813244    0.0014813244    0.0014813244
  0.0014813244    0.0014813244    0.0014813244    0.0014813244    0.0014813244
  0.0014813244    0.0014813244    0.0014813244    0.0014813244    0.0014813244
  0.0014813244    0.0014813244    0.0014813244    0.0014813244    0.0014813244
  0.0014813244    0.0014813244    0.0014813244    0.0014813244    0.0014813244
  0.0014813244    0.0014813244    0.0014813244    0.0014813840    0.0014813840
  0.0014813840    0.0014813840    0.0014814436    0.0014814436    0.0014814436
  0.0014815032    0.0014815032    0.0014815032    0.0014815032    0.0014815629
  0.0014815629    0.0014815629    0.0014816225    0.0014816225    0.0014816225
  0.0014816225    0.0014816821    0.0014816821    0.0014816821    0.0014816821
  0.0014817417    0.0014817417    0.0014817417    0.0014818013    0.0014818013
  0.0014818013    0.0014818013    0.0014818609    0.0014818609    0.0014818609
  0.0014818609    0.0014819205    0.0014819205    0.0014819205    0.0014819205
  0.0014819801    0.0014819801    0.0014819801    0.0014819801    0.0014820397
  0.0014820397    0.0014820397    0.0014820397    0.0014820993    0.0014820993
  0.0014820993    0.0014820993    0.0014821589    0.0014821589    0.0014821589
  0.0014821589    0.0014822185    0.0014822185    0.0014822185    0.0014822185
  0.0014822781    0.0014822781    0.0014822781    0.0014822781    0.0014823377
  0.0786304772    0.0784750283    0.0782736242    0.0780677497    0.0778590739
  0.0776478946    0.0774343312    0.0772183836    0.0769999921    0.0767791569
  0.0765558779    0.0763299763    0.0761015713    0.0758704841    0.0756367147
  0.0754002035    0.0751608908    0.0749186575    0.0746735036    0.0744252503
  0.0741740167    0.0739195049    0.0736618340    0.0734008253    0.0731362998
  0.0728683174    0.0725967586    0.0723214447    0.0720423162    0.0717591941
  0.0714721382    0.0711807907    0.0708852112    0.0705852211    0.0702806413
  0.0699712932    0.0696570575    0.0693377554    0.0690132678    0.0686833560
  0.0683477819    0.0680063665    0.0676589310    0.0673051775    0.0669448078
  0.0665776432    0.0662033856    0.0658216178    0.0654320419    0.0650344193
  0.0646282732    0.0642131269    0.0637885034    0.0633541644    0.0629092753
  0.0624533594    0.0619857609    0.0615059435    0.0610127747    0.0605057180
  0.0599838197    0.0594458878    0.0588909686    0.0583175123    0.0577240288
  0.0571091473    0.0564707816    0.0558070838    0.0551149547    0.0543920100
  0.0536348522    0.0528393686    0.0520007908    0.0511136949    0.0501705706
  0.0491632521    0.0480810106    0.0469093025    0.0456307828    0.0442199409
  0.0426426232    0.0408491790    0.0387631357    0.0362608731    0.0331300199
  0.0290004909    0.0234242976    0.0167579949    0.0160606802    0.0160305202
  0.0160001814    0.0159697235    0.0159391463    0.0159083903    0.0158774555
  0.0158464611    0.0158152878    0.0157839358    0.0157524049    0.0157207549
  0.0156889856    0.0156569779    0.0156248510    0.0155924857    0.0155600607
  0.0155274570    0.0154946148    0.0154615939    0.0154284537    0.0153950751
  0.0153615177    0.0153278410    0.0152939260    0.0152598321    0.0152255595
  0.0151910484    0.0151561797    0.0151213109    0.0150862038    0.0150509179
  0.0150153339    0.0149795711    0.0149436295    0.0149073899    0.0148709714
  0.0148343146    0.0147974193    0.0147602260    0.0147228539    0.0146852434
