  0.0000000000    0.0150000000
  0.0002500000    0.0010000000    179    30
  0.0033196206    0.0033047084    0.0032725242    0.0032346344    0.0031946084
  0.0031535924    0.0031120249    0.0030701110    0.0030279600    0.0029856335
  0.0029431654    0.0029005778    0.0028578973    0.0028151266    0.0027722809
  0.0027293691    0.0026863862    0.0026433389    0.0026002207    0.0025570595
  0.0025138320    0.0024705568    0.0024272184    0.0023838277    0.0023403853
  0.0022968888    0.0022533280    0.0022097238    0.0021660571    0.0021223280
  0.0020785430    0.0020346859    0.0019907655    0.0019467820    0.0019027114
  0.0018585528    0.0018143096    0.0017699721    0.0017255125    0.0016809453
  0.0016362345    0.0016286342    0.0016267882    0.0016249485    0.0016231156
  0.0016212973    0.0016194787    0.0016176601    0.0016158570    0.0016140621
  0.0016122680    0.0016104826    0.0016087014    0.0016069268    0.0016051545
  0.0016033992    0.0016016466    0.0015998969    0.0015981506    0.0015964222
  0.0015946905    0.0015929700    0.0015912538    0.0015895494    0.0015878428
  0.0015861484    0.0015844593    0.0015827830    0.0015811054    0.0015794341
  0.0015777761    0.0015761178    0.0015744732    0.0015728289    0.0015711920
  0.0015695693    0.0015679409    0.0015663273    0.0015647218    0.0015631181
  0.0015615231    0.0015599369    0.0015583596    0.0015567851    0.0015552135
  0.0015536516    0.0015520995    0.0015505509    0.0015490124    0.0015474841
  0.0015459539    0.0015444343    0.0015429253    0.0015414211    0.0015399219
  0.0015384278    0.0015369449    0.0015354735    0.0015340017    0.0015325415
  0.0015310814    0.0015296332    0.0015281969    0.0015267610    0.0015253317
  0.0015239146    0.0015225040    0.0015211003    0.0015197033    0.0015183133
  0.0015169303    0.0015155545    0.0015141859    0.0015128299    0.0015114758
  0.0015101292    0.0015087900    0.0015074635    0.0015061393    0.0015048277
  0.0015035238    0.0015022273    0.0015009334    0.0014996886    0.0014996886
  0.0014996886    0.0014996886    0.0014996886    0.0014996886    0.0014996886
  0.0014996886    0.0014996886    0.0014996886    0.0014996886    0.0014996886
  0.0014996886    0.0014996886    0.0014996886    0.0014996886    0.0014996886
  0.0014996886    0.0014996886    0.0014996886    0.0014996886    0.0014996886
  0.0014996886    0.0014996886    0.0014996886    0.0014996886    0.0014996886
  0.0014996886    0.0014996886    0.0014996886    0.0014996886    0.0014996886
  0.0014996886    0.0014996886    0.0014996886    0.0014996886    0.0014996886
  0.0014996886    0.0014996886    0.0014996886    0.0014996886    0.0014996886
  0.0014996886    0.0014996886    0.0014996886    0.0014996886    0.0014996886
  0.0014996886    0.0014996886    0.0014996886    0.0014996886    0.0014996886
  0.0014996886    0.0014996886    0.0014996886    0.0014996886    0.0014996886
  0.0035263769    0.0035131524    0.0034831355    0.0034466866    0.0034076488
  0.0033673685    0.0033264096    0.0032850132    0.0032433291    0.0032014290
